dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
2,42,online_static_3step,dynamic_3step,0.15406110681978996,0.07675725044085178,0.15420744306144635,8351.0,56.400428265524624,11.696600566572238,0.982269638179126,0.9145050739906513,5453.0,4453.0,524.5087883931119,483.00794449611567,c360e77cbf9208eb59f877768a341b1ee56109539a0141aec1c11cf00737f360,42,0.5
2,43,online_static_3step,dynamic_3step,0.1165593343401426,0.04088076872458588,0.11674053711544743,8358.0,26.349201065246337,11.402895553257498,0.9620481851603856,0.9123029764387934,4996.0,4177.0,480.11767541314475,441.8916499936022,0e62c4ad1d0e7742f7978514de246c25478a67dddee6715440c3ab32561d520e,43,0.5
2,44,online_static_3step,dynamic_3step,0.14010031006314033,0.060718020285461465,0.14037819883683456,8353.0,29.85798273011207,10.971644863536756,0.966508119150612,0.9088559634915447,4672.0,4472.0,454.8247925757896,491.1606976359617,0d70ca331d92c748ebc27f4e7e5d1e311ed527bdd2afd7634f04394859659ace,44,0.5
2,45,online_static_3step,dynamic_3step,0.15936491354895477,0.08007660130394458,0.15955198312463736,8364.0,64.68677204658901,12.860438024231128,0.9845408888345862,0.9222421508415313,4890.0,3824.0,466.0630871851463,412.21000654506497,d3425e91c12782ca0d0e0fe9d88923d1b43baad26303f808c7533aaf5e56dc57,45,0.5
2,46,online_static_3step,dynamic_3step,0.14162862079747018,0.06987142217606397,0.14187859638395478,8347.0,31.035636936404803,10.788558352402745,0.9677789760832329,0.907309209689051,5894.0,4495.0,569.4709375947714,481.0639714926947,43df327920651f8d8a2868d63fa20f885db7a645919e512e13e92d1dd7209fd1,46,0.5
2,47,online_static_3step,dynamic_3step,0.16779721295019162,0.08143467457143212,0.1681194836604104,8355.0,58.313266443701224,11.154811715481172,0.9828512436194008,0.9103525881470368,5964.0,4471.0,578.6644838263746,485.29484655335546,275881b972784a9f8e6b86ab40792a272b8569d6f6dc28fe2693be4b2c7c573e,47,0.5
2,48,online_static_3step,dynamic_3step,0.10251029795340275,0.03748246675221922,0.10262560660463141,8351.0,27.10402172068556,11.70994044242768,0.963105106308382,0.914602469165703,4918.0,4193.0,484.0591182592325,458.7021124344319,19b73fb426414f211462ff0536025acdb560a71b5a028919bca41bf59c86e5dd,48,0.5
2,49,online_static_3step,dynamic_3step,0.14845083071591086,0.07766688646669227,0.1485565052269477,8367.0,67.47014297729184,14.229712322885359,0.9851786293036823,0.9297245104251531,5179.0,4412.0,488.970471998211,468.64410601346754,09f72ed3d5d6cacb4e058c3689636ec44d588e9249e5745b6f94c551a290cf51,49,0.5
2,50,online_static_3step,dynamic_3step,0.16549598141904967,0.07772030193443977,0.16577742156938918,8356.0,71.47397512666974,10.733606025191534,0.9860088934716762,0.9068346651020149,5202.0,3787.0,505.019051367417,412.4957339547109,183fe4afcb85edee069d5b151e37e11888df8765dd48e3eecba569d08da25f47,50,0.5
2,51,online_static_3step,dynamic_3step,0.16241058936915562,0.07778879731553309,0.16264804262846003,8366.0,56.767250625670364,11.60186287555151,0.9823842093992871,0.9138069454253515,4959.0,3766.0,478.4262650385499,406.8494615771342,001beb6e33cb37583676d8d112256ff90d3d3140f42e48beadce4b812ef2864d,51,0.5
3,42,online_static_3step,dynamic_3step,0.1355835509850651,0.05965805894314231,0.13586513635683223,8351.0,53.58998646820027,11.120328597400848,0.9813397974900891,0.9100745997529489,4488.0,4468.0,425.1681076728273,481.4182476636488,78b6301a32ee11bae9bf04eef594a95993c53cd686772fc110d159875c7841a7,42,0.5
3,43,online_static_3step,dynamic_3step,0.13954137448020074,0.060070249880476156,0.13977565935548958,8343.0,33.43792662116041,11.012288786482335,0.9700938395095594,0.9091923559771238,4535.0,4499.0,431.57875520177186,472.05811194493435,b9d2ab5419352c1afc371a6279089c81c3dfdc4fe2474fec5333de4544414dd3,43,0.5
