dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
1,42,2,pizza_repartition,0.22641370810067069,7614.90804054647,0.8623904915681166,0.7038064505049477,none,0.05979575980691976,8010,8011,8829,8830,120000.0,120014.76429591242,1.00012303579927,budget_exhausted,3,"[1,4]",02b990f496345e4b471c924f489de76deeec2d87ba261b3da6caa212b9aeaead
1,42,3,dynamic_evidence_3step,0.20804236598925263,7746.018546408479,0.8772387934777439,0.6045794633385478,none,0.09945615688159859,8513,8514,8829,8830,80000.0,80000.2547452709,1.0000031843158863,budget_exhausted,2,"[1,4,2]",none
1,42,3,online_static_3step,0.16570074236132265,7881.539694005681,0.8925866018126479,0.7230387920310307,none,0.05591641786286117,8506,8507,8829,8830,80000.0,80003.90564860591,1.000048820607574,budget_exhausted,2,"[1,4,2]",none
1,42,3,pizza_repartition,0.17207156163780682,7926.630485751427,0.897693146744216,0.5348840229024516,none,0.09509841498301908,8008,8009,8829,8830,80000.0,80003.33244863561,1.0000416556079452,budget_exhausted,2,"[1,4,2]",65256124dfd6b93ba5701370b92140b2e919f53de088060809c5a724a0c586e7
1,45,0,dynamic_evidence_3step,0.3315814911884892,7091.753664571803,0.8062475744169854,1.0,none,0.0,8497,8498,8795,8796,200000.0,200020.13174850965,1.0001006587425483,budget_exhausted,5,[],none
1,45,0,online_static_3step,0.24748094737700377,7422.364964297436,0.8438341250906589,1.0,none,0.0,8784,8785,8795,8796,200000.0,200004.72197657143,1.0000236098828572,budget_exhausted,5,[],none
1,45,0,pizza_repartition,0.32162820627724514,7063.8524780806965,0.8030755432106295,1.0,none,0.0,8012,8013,8795,8796,200000.0,200021.58790906973,1.0001079395453487,budget_exhausted,5,[],1078b6655e6f2d472700d86864c096290a9f422288cc52c829b2a32149ac21ea
1,45,1,dynamic_evidence_3step,0.31897549083663007,7104.880624384768,0.8077399527495189,0.9619821953671921,none,0.0014923783325335727,8512,8513,8795,8796,160000.0,160019.5779262117,1.000122362038823,budget_exhausted,4,[0],none
1,45,1,online_static_3step,0.17925914086523714,7715.981322438567,0.8772147933650031,0.7243351165621654,none,0.03338066827434416,8667,8668,8795,8796,160000.0,160013.72854242974,1.0000858033901858,budget_exhausted,4,[0],none
1,45,1,pizza_repartition,0.2780240527882504,7312.353767361445,0.8313271677309509,0.8644268362103548,none,0.028251624520321483,8011,8012,8795,8796,160000.0,160016.9506169593,1.0001059413559956,budget_exhausted,4,[0],a890cb8383c43bb45eee103097da8e1edaf9b6fbb34141b9a540470f8be27f1c
