dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,alpha,w
1,44,alpha_0.5,online_static_3step,dynamic_3step,0.06891473064091583,0.016875718167561147,0.11846070272643969,8676.0,25.704022561971204,12.625307766917855,0.9610955834796268,0.9207940100580911,4234.0,4035.0,413.2793191373348,429.0732842669822,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,0.5,0.5
1,44,alpha_0.75,online_static_3step,dynamic_3step,0.044202901641443165,0.01131655834032634,0.11846070272643969,8676.0,25.704022561971204,12.625307766917855,0.9610955834796268,0.9207940100580911,4234.0,4035.0,413.2793191373348,429.0732842669822,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,0.75,0.5
1,45,alpha_0,online_static_3step,dynamic_3step,0.21108826066311817,0.09004592581381948,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,380.7250131140463,426.69538342859596,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,0.0,0.5
1,45,alpha_0.25,online_static_3step,dynamic_3step,0.16586888211586953,0.0703235685188879,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,380.7250131140463,426.69538342859596,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,0.25,0.5
1,45,alpha_0.5,online_static_3step,dynamic_3step,0.12064950356862075,0.050601211223953356,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,380.7250131140463,426.69538342859596,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,0.5,0.5
1,45,alpha_0.75,online_static_3step,dynamic_3step,0.07543012502137206,0.03087885392906572,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,380.7250131140463,426.69538342859596,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,0.75,0.5
1,46,alpha_0,online_static_3step,dynamic_3step,0.06805365127499063,0.023251678340813667,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,408.91344971442595,433.55885073309764,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,0.0,0.5
1,46,alpha_0.25,online_static_3step,dynamic_3step,0.05393903434760322,0.018468256227366222,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,408.91344971442595,433.55885073309764,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,0.25,0.5
1,46,alpha_0.5,online_static_3step,dynamic_3step,0.03982441742021586,0.013684834113918989,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,408.91344971442595,433.55885073309764,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,0.5,0.5
1,46,alpha_0.75,online_static_3step,dynamic_3step,0.02570980049282845,0.008901412000440862,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,408.91344971442595,433.55885073309764,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,0.75,0.5
1,47,alpha_0,online_static_3step,dynamic_3step,0.11580449611450574,0.0601386503702604,0.11582869429579282,8943.0,26.513666072489602,12.976128538638102,0.9622836013222029,0.9229354119741978,4051.0,3984.0,392.83365798019804,425.64264281466603,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,0.0,0.5
1,47,alpha_0.25,online_static_3step,dynamic_3step,0.09148758038022639,0.047366849024285916,0.11582869429579282,8943.0,26.513666072489602,12.976128538638102,0.9622836013222029,0.9229354119741978,4051.0,3984.0,392.83365798019804,425.64264281466603,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,0.25,0.5
1,47,alpha_0.5,online_static_3step,dynamic_3step,0.06717066464594698,0.034595047678293536,0.11582869429579282,8943.0,26.513666072489602,12.976128538638102,0.9622836013222029,0.9229354119741978,4051.0,3984.0,392.83365798019804,425.64264281466603,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,0.5,0.5
1,47,alpha_0.75,online_static_3step,dynamic_3step,0.04285374891166757,0.02182324633229088,0.11582869429579282,8943.0,26.513666072489602,12.976128538638102,0.9622836013222029,0.9229354119741978,4051.0,3984.0,392.83365798019804,425.64264281466603,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,0.75,0.5
1,48,alpha_0,online_static_3step,dynamic_3step,0.044541589960545136,0.012925503086258252,0.04451638792423157,8710.0,16.098961231682434,12.232387264082986,0.9378841910599784,0.9182498086096225,4320.0,4024.0,429.13963434426114,422.6868262011558,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,0.0,0.5
1,48,alpha_0.25,online_static_3step,dynamic_3step,0.03567265668066302,0.010274934521381599,0.04451638792423157,8710.0,16.098961231682434,12.232387264082986,0.9378841910599784,0.9182498086096225,4320.0,4024.0,429.13963434426114,422.6868262011558,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,0.25,0.5
