dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,curve,w
7,44,nominal,online_static_3step,dynamic_3step,0.16444703417075152,0.07932145673488988,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,549.2786743093748,502.1532473305706,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,nominal,0.5
7,44,pd_060,online_static_3step,dynamic_3step,0.14284124098546824,0.05547895571496785,0.14421287445345793,8276.0,40.003819709702064,10.096541876202894,0.9750023870906139,0.90095618754804,5735.0,4625.0,558.0173321841285,500.24721647426486,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,p_d,0.5
7,44,pd_095,online_static_3step,dynamic_3step,0.15170829435699995,0.07648818038406512,0.15171966281233862,8229.0,40.003819709702064,9.400385266475979,0.9750023870906139,0.8936213812888884,5735.0,4807.0,548.5021446428727,517.5180053722579,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,p_d,0.5
7,44,tau_128000,online_static_3step,dynamic_3step,0.16287888686943566,0.07921232058971824,0.16309343651783537,8251.0,40.003819709702064,9.593903813081896,0.9750023870906139,0.8957671434399377,5735.0,4673.0,563.3831964593846,504.70194731489755,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,tau,0.5
7,44,tau_2000,online_static_3step,dynamic_3step,0.1460320380679035,0.07567932774056449,0.14623836292209658,8253.0,40.003819709702064,9.813909774436091,0.9750023870906139,0.8981038115303581,5735.0,4700.0,555.5098692032043,508.9886450311169,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,tau,0.5
7,44,tau_32000,online_static_3step,dynamic_3step,0.16174643997688004,0.07891217729376529,0.16197153629404976,8254.0,40.003819709702064,9.69723836338585,0.9750023870906139,0.896877857125207,5735.0,4685.0,553.5701496007387,505.0541540135164,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,tau,0.5
7,44,w_0,online_static_3step,dynamic_3step,0.0,0.0,0.0,8243.0,9.678432312578654,9.678432312578654,0.8966774816722806,0.8966774816722806,4753.0,4753.0,421.0328929007519,473.1453029627446,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,w,0.0
7,44,w_025,online_static_3step,dynamic_3step,-0.005697221657287449,-0.006351017930060232,-0.005683210488366952,8258.0,9.38070503093265,9.68380155409444,0.893398204431061,0.8967347694586754,4822.0,4676.0,479.40251818532124,502.4617636271287,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,w,0.25
7,44,w_075,online_static_3step,dynamic_3step,0.13975209200618327,0.07079973767721481,0.13994910193569776,8248.0,52.27829872739451,9.750376937458537,0.9808716040050479,0.897439862436677,5628.0,4730.0,536.6825765352696,509.46485782344826,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,w,0.75
7,44,w_1,online_static_3step,dynamic_3step,0.13726541943365325,0.08180847588167268,0.13743018336420362,8236.0,1017.2272727272727,11.17235885001732,0.999016935519907,0.9104933869897627,4497.0,4706.0,424.0510305298958,499.875105939107,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,w,1.0
